first_name,second_name
Cole,Palmer
Scott,Carson
Luke,Mbete
Juan,Mata
David,de Gea
Nemanja,Matic
Harry,Maguire
Frederico,Rodrigues de Paula Santos
Bruno Miguel,Borges Fernandes
Dean,Henderson
Marcus,Rashford
Victor,Lindelöf
Scott,McTominay
Aaron,Wan-Bissaka
Brandon,Williams
Donny,van de Beek
Alex Nicolao,Telles
Edinson,Cavani
Shola,Shoretire
Anthony,Elanga
Hannibal,Mejbri
Matt,Ritchie
Federico,Fernández
Karl,Darlow
Martin,Dubravka
Jamaal,Lascelles
Dwight,Gayle
Paul,Dummett
Emil,Krafth
Allan,Saint-Maximin
Miguel,Almirón
Joelinton Cássio,Apolinário de Lira
Sean,Longstaff
Mark,Gillespie
Jacob,Murphy
Callum,Wilson
Aaron,Ramsdale
Theo,Walcott
Takumi,Minamino
Alex,McCarthy
Oriol,Romeu Vidal
Nathan,Redmond
Danny,Ings
Jack,Stephens
Stuart,Armstrong
Jannik,Vestergaard
James,Ward-Prowse
Kyle,Walker-Peters
Jan,Bednarek
Che,Adams
Moussa,Djenepo
Mohammed,Salisu
Nathan,Tella
Ibrahima,Diallo
Kgaogelo,Chauke
Harry,Lewis
Hugo,Lloris
Moussa,Sissoko
Harry,Kane
Heung-Min,Son
Eric,Dier
Lucas,Rodrigues Moura da Silva
Bamidele,Alli
Ben,Davies
Pierre-Emile,Højbjerg
Harry,Winks
Davinson,Sánchez
Steven,Bergwijn
Joe,Rodon
Alfie,Devine
Dane,Scarlett
Conor,Gallagher
