assists,element_type,clean_sheets,creativity,goals_conceded,goals_scored,minutes,influence,points_per_game,saves,bonus,yellow_cards,total_points,total_points_next
0,2,5,121,41,0,2306,444,2,0,0,4,55,12
4,2,9,254,60,2,3420,955,3,0,10,7,117,92
13,3,9,924,51,12,2948,966,5,0,19,2,195,102
3,3,4,412,35,3,1683,290,2,0,2,2,80,84
2,4,8,439,57,20,3248,822,4,0,28,3,183,174
4,4,1,185,17,3,818,214,2,0,5,2,54,58
0,1,0,0,6,0,180,67,2,8,0,0,4,0
1,3,0,20,9,0,375,68,1,0,0,1,13,20
0,3,0,1,0,0,8,0,1,0,0,0,3,43
0,1,7,0,24,0,1710,281,3,36,0,3,67,0
1,2,11,104,24,2,2124,656,3,0,10,4,110,63
1,2,6,250,19,0,1264,261,3,0,3,1,52,4
0,2,1,23,1,0,173,21,2,0,0,1,7,34
3,2,6,615,25,0,1759,437,2,0,4,3,77,101
2,2,8,399,17,1,1573,358,4,0,10,3,83,185
1,3,14,448,21,1,2169,417,2,0,3,1,75,76
0,3,1,113,1,0,234,32,1,0,0,1,13,23
8,3,15,739,24,10,2189,677,5,0,8,3,147,231
2,3,15,356,23,1,2381,341,2,0,1,1,85,108
12,3,15,942,29,32,2905,1496,8,0,26,1,303,259
8,4,16,834,32,15,2760,951,4,0,29,1,181,160
1,4,3,42,0,1,262,57,2,0,0,0,18,90
0,2,8,122,28,0,2253,601,3,0,5,1,78,208
5,2,10,414,18,1,1940,424,5,0,12,2,111,213
0,1,0,0,0,0,0,0,0,0,0,0,0,22
0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0,0,1
0,1,16,10,26,0,3195,546,4,58,10,1,158,169
0,2,9,26,11,0,1301,283,3,0,5,0,70,83
1,2,6,76,11,1,1394,399,3,0,2,6,60,58
0,2,15,224,25,4,2966,846,4,0,21,9,156,70
2,3,6,263,17,1,1740,369,2,0,0,2,55,29
17,3,13,838,23,18,2584,969,6,0,19,3,229,234
11,3,14,1118,18,9,2431,875,5,0,26,5,169,143
4,3,15,511,24,5,2880,800,3,0,9,7,120,79
18,3,19,1744,22,8,3073,1146,5,0,25,2,209,59
2,3,6,406,15,4,1504,381,2,0,9,3,82,113
15,3,12,891,22,10,2415,842,5,0,17,4,179,156
5,3,9,508,10,6,1514,475,3,0,8,0,112,154
7,4,9,360,12,13,1660,603,4,0,18,6,126,79
6,2,15,511,22,0,2784,542,4,0,8,2,138,150
2,2,9,158,11,3,1340,376,4,0,8,2,100,46
1,2,2,139,1,0,360,84,2,0,1,2,20,59
1,3,0,32,1,0,45,29,1,0,0,0,8,25
0,3,3,145,3,0,530,116,2,0,0,1,16,44
0,2,4,52,5,0,806,165,3,0,2,1,35,177
10,3,11,1155,32,9,2546,823,4,0,13,5,152,47
1,3,16,427,26,1,3117,681,2,0,3,6,91,59
0,1,1,0,0,0,90,26,7,3,0,0,7,0
0,2,11,35,24,4,2535,743,4,0,9,4,123,56
0,2,15,36,11,0,1973,486,5,0,19,2,116,43
0,2,7,127,2,0,787,142,4,0,4,2,48,91
0,2,3,26,8,0,639,151,2,0,4,6,23,2
1,2,16,438,22,3,2741,559,4,0,13,7,146,17
0,2,3,25,3,0,443,95,3,0,3,0,27,14
0,2,5,37,14,0,1284,272,2,0,1,1,47,85
5,3,15,849,10,3,1919,422,3,0,6,1,100,70
6,3,9,502,26,2,2444,601,3,0,11,7,98,73
2,3,5,229,14,0,1257,294,1,0,0,5,44,62
6,3,9,519,18,8,1807,526,3,0,10,2,128,78
6,3,9,509,13,9,1572,535,4,0,7,1,125,122
13,3,11,663,20,6,2145,710,5,0,15,5,138,179
0,3,4,53,3,0,629,78,1,0,0,2,21,38
5,4,10,412,16,7,1799,470,3,0,11,3,104,128
0,1,3,0,21,0,1440,364,3,44,4,0,57,0
0,1,2,0,15,0,900,258,3,35,2,0,33,0
0,2,9,77,31,3,2927,800,3,0,9,5,116,95
0,2,5,97,18,0,1602,333,2,0,0,1,52,67
7,3,9,844,35,3,2802,561,3,0,10,6,116,110
4,3,6,639,30,1,2264,442,2,0,4,2,73,39
0,3,6,214,27,2,2034,431,2,0,3,3,70,56
6,4,8,539,28,8,2486,571,3,0,15,3,124,141
1,2,4,164,31,0,1757,266,2,0,1,2,49,53
1,4,5,254,25,4,1703,291,2,0,5,2,69,30
0,3,3,164,25,1,1365,273,1,0,0,7,41,69
0,1,4,0,11,0,1080,234,4,26,5,0,53,131
0,1,4,0,26,0,1620,280,2,42,3,2,52,73
0,1,4,0,30,0,1800,488,3,69,6,0,73,2
5,2,8,589,49,0,3135,515,2,0,4,2,103,56
1,2,6,67,32,2,2049,525,3,0,6,2,76,44
0,2,5,68,33,2,1980,506,2,0,2,6,58,47
5,3,2,613,29,3,1708,363,2,0,8,3,84,94
0,3,8,338,47,1,2897,616,2,0,0,11,68,55
0,3,3,258,30,0,1666,266,1,0,0,6,39,90
0,3,1,43,2,0,160,32,1,0,0,0,8,11
3,3,7,630,31,1,1938,347,2,0,3,3,72,137
2,4,4,301,28,2,1570,235,1,0,0,6,53,66
1,4,4,89,15,7,1024,302,3,0,9,2,72,46
0,2,7,91,50,1,2887,814,2,0,5,1,87,112
0,1,0,0,7,0,270,64,1,8,0,0,5,0
9,3,6,1151,58,8,3039,718,4,0,19,5,155,88
2,4,2,321,27,5,1551,289,2,0,6,4,73,8
0,1,9,10,56,0,3420,1087,4,137,14,0,157,143
1,2,7,75,44,1,2676,736,2,0,10,5,85,47
1,2,9,86,56,2,3420,848,2,0,7,3,112,19
2,3,5,338,29,2,1865,307,2,0,9,2,73,38
2,4,7,350,49,7,2850,562,3,0,12,2,108,46
0,4,1,66,2,1,224,60,1,0,2,1,22,41
0,1,15,0,35,0,3240,726,4,87,6,1,144,145
0,1,0,0,1,0,90,19,3,4,0,0,3,5
0,2,5,67,13,0,1177,249,3,0,3,3,43,107
2,2,2,181,14,0,800,159,2,0,0,4,24,86
1,2,16,205,31,0,3203,774,3,0,13,4,138,67
7,2,12,698,20,2,2323,610,4,0,14,3,143,66
2,3,15,293,30,0,2822,604,2,0,2,4,85,56
4,3,4,283,12,2,826,204,2,0,1,4,55,67
10,3,17,1487,33,11,3218,1072,5,0,23,0,199,161
13,3,16,878,28,9,2957,775,4,0,12,7,175,94
0,3,2,96,11,1,837,206,1,0,1,2,32,24
1,3,7,384,18,1,1385,245,1,0,0,3,58,76
